n,distribution,k,randomized_time,deterministic_time
1000,random,500,0.0003158799995617301,0.0016138070000124571
1000,random,500,0.00030707399992024875,0.001660593999986304
1000,random,500,0.00021895899999435642,0.0016915419996621495
1000,sorted,500,0.00027089700006399653,0.0012447160002011515
1000,sorted,500,0.00048558800017417525,0.0012672879997808195
1000,sorted,500,0.00025475599977653474,0.0013968509997539513
1000,reversed,500,0.000285373999759031,0.0017640070000197738
1000,reversed,500,0.00017735199980961625,0.0018306709998796578
1000,reversed,500,0.0006366999996316736,0.0017839140000432963
1000,few_unique,500,0.0006630590000895609,0.00538667799992254
1000,few_unique,500,0.0006274519996622985,0.006867154999781633
1000,few_unique,500,0.00046849599993947777,0.0028924660000484437
5000,random,2500,0.002208377999977529,0.004898073999811459
5000,random,2500,0.0006938060000720725,0.006299613999999565
5000,random,2500,0.0013825129999531782,0.005675687999882939
5000,sorted,2500,0.0007724130000497098,0.004929362999973819
5000,sorted,2500,0.0011490369997773087,0.006909303000156797
5000,sorted,2500,0.0015893099998720572,0.003612591999626602
5000,reversed,2500,0.0008918969997466775,0.007019068999852607
5000,reversed,2500,0.0025999290000982,0.010073867999835784
5000,reversed,2500,0.0015828079999664624,0.009520193999833282
5000,few_unique,2500,0.0028210330001456896,0.22246335799991357
5000,few_unique,2500,0.0035499450000315846,0.2840168440002344
5000,few_unique,2500,0.004193006999685167,0.2174571420000575
10000,random,5000,0.0027168879996679607,0.01221643300004871
10000,random,5000,0.003441342000314762,0.017334268000013253
10000,random,5000,0.0018453090001457895,0.011147956000058912
10000,sorted,5000,0.0012970940001650888,0.008145435000187717
10000,sorted,5000,0.001752915999986726,0.010589342000002944
10000,sorted,5000,0.0014501999999083637,0.01377980799998113
10000,reversed,5000,0.0038092889999461477,0.02134854699988864
10000,reversed,5000,0.0013788470000690722,0.02082620200008023
10000,reversed,5000,0.005319164999946224,0.01932442599991191
10000,few_unique,5000,0.013886674999866955,3.6764615870001762
10000,few_unique,5000,0.011833637000108865,2.9768595159998767
10000,few_unique,5000,0.013247931000023527,3.049712972999714
